TIME,VALUE,DURATION,LABEL
0.000000000,1,10.095759637,A0
10.095782313,2,7.197324263,B0
17.293129252,3,14.380113379,C0
31.673265306,4,14.416984127,D0
46.090272109,5,6.725532880,D0
52.815827664,6,5.870204082,E0
58.686054422,7,9.036031746,F0
67.722108844,8,7.192154195,F0
74.914285714,9,5.392290249,F0
80.306598639,10,1.759750567,G0
82.066371882,11,14.447664399,D1
96.514058957,12,6.937029478,D0
103.451111111,13,5.652176871,E0
109.103310658,14,9.038616780,F0
118.141950113,15,7.195646259,F0
125.337619048,16,7.196870748,F0
132.534512472,17,7.208798186,F1
139.743333333,18,13.733151927,H0
153.476507937,19,7.868979592,H1
161.345510204,20,7.213832200,H2
168.559365079,21,7.183718821,F0
175.743106576,22,7.221020408,F2
182.964149660,23,7.314013605,F0
190.278185941,24,6.417891156,I0
196.696099773,25,7.668208617,E1
204.364331066,26,12.915668934,J0
