TIME,VALUE,DURATION,LABEL
0.000000000,1,10.192018141,A0
10.192040816,2,8.124126984,A0
18.316190476,3,9.374353741,B0
27.690566893,4,2.461995465,C0
30.152585034,5,10.037165533,B1
40.189773243,6,10.001360544,D0
50.191156463,7,19.682947846,D1
69.874126984,8,10.315396825,D2
80.189546485,9,10.001791383,D2
90.191360544,10,7.491564626,E0
97.682947846,11,2.508503401,F0
100.191473923,12,9.968730159,D3
110.160226757,13,5.019909297,D4
115.180158730,14,5.028956916,G0
120.209138322,15,10.376712018,H0
130.585873016,16,3.974126984,I0
