TIME,VALUE,DURATION,LABEL
0.000000000,1,0.719092971,A0
0.719115646,2,5.075396825,B0
5.794535147,3,4.796938776,C0
10.591496599,4,4.801315193,C1
15.392834467,5,4.801587302,C2
20.194444444,6,4.799863946,C3
24.994331066,7,4.800022676,C4
29.794376417,8,4.372879819,C5
34.167278912,9,2.819387755,D0
36.986689342,10,4.522834467,D1
41.509546485,11,5.091496599,D0
46.601065760,12,4.505328798,D1
51.106417234,13,2.546780045,D2
53.653219955,14,2.251473923,E0
55.904716553,15,2.388707483,E1
58.293446712,16,2.396938776,E2
60.690408163,17,4.827256236,E3
65.517687075,18,4.927845805,F0
70.445555556,19,4.779637188,F1
75.225215420,20,4.966077098,F2
80.191315193,21,4.802698413,F3
84.994036281,22,4.673083900,F4
89.667142857,23,3.981451247,G0
93.648616780,24,0.911383220,A0
