TIME,VALUE,DURATION,LABEL
0.0,0,2.507755102,N1
2.507755102,1,15.847619048,A
18.35537415,1,15.88244898,A
34.237823129,1,15.870839002,A
50.108662132,1,15.870839002,A
65.979501134,1,15.870839002,A
81.850340136,1,15.870839002,A
97.721179138,0,15.859229025,N2
113.580408163,1,15.870839002,A
129.451247166,1,15.859229025,A
145.31047619,1,15.88244898,A
161.19292517,0,7.94122449,N3
169.13414966,2,15.870839002,B
185.004988662,2,15.870839002,B
200.875827664,2,15.870839002,B
216.746666667,2,15.870839002,B
232.617505669,0,11.853786848,N4
