TIME,VALUE,DURATION,LABEL
0.000000000,1,28.600000000,A
28.600000000,2,11.800000000,B
40.400000000,3,8.400000000,C
48.800000000,2,9.800000000,B
58.600000000,3,6.200000000,C
64.800000000,4,31.800000000,D
96.600000000,5,5.200000000,E
101.800000000,4,11.200000000,D
113.000000000,5,5.600000000,E
118.600000000,1,10.200000000,A
128.800000000,2,11.800000000,B
140.600000000,3,8.000000000,C
148.600000000,2,10.200000000,B
158.800000000,3,6.200000000,C
165.000000000,4,31.600000000,D
196.600000000,5,5.400000000,E
202.000000000,4,11.000000000,D
213.000000000,5,6.200000000,E
219.200000000,4,16.000000000,D
235.200000000,6,21.400000000,F
256.600000000,1,15.000000000,A
