TIME,VALUE,DURATION,LABEL
0.0,1,6.2,1
6.2,2,8.8,2
15.0,3,6.6,3
21.6,2,9.4,2
31.0,3,6.6,3
37.6,2,9.4,2
47.0,3,6.8,3
53.8,2,9.2,2
63.0,3,6.8,3
69.8,2,9.2,2
79.0,3,4.6,3
83.6,4,9.2,4
92.8,5,6.4,5
99.2,4,9.6,4
108.8,5,6.4,5
115.2,4,9.6,4
124.8,5,6.4,5
131.2,4,9.8,4
141.0,5,6.2,5
147.2,4,6.2,4
153.4,6,5.6,6
159.0,5,4.2,5
163.2,4,6.4,4
169.6,6,5.4,6
175.0,5,4.2,5
179.2,4,6.4,4
185.6,6,5.4,6
191.0,5,4.2,5
195.2,4,6.4,4
201.6,6,5.4,6
207.0,5,4.2,5
211.2,4,6.4,4
217.6,6,5.4,6
223.0,5,4.6,5
227.6,4,10.6,4
