TIME,VALUE,DURATION,LABEL
0.000000000,1,38.000000000,A
38.000000000,2,10.200000000,B
48.200000000,3,7.200000000,C
55.400000000,2,9.400000000,B
64.800000000,4,10.000000000,D
74.800000000,5,6.200000000,E
81.000000000,4,9.000000000,D
90.000000000,5,6.400000000,E
96.400000000,6,7.400000000,F
103.800000000,5,8.000000000,E
111.800000000,6,8.200000000,F
120.000000000,5,8.200000000,E
128.200000000,7,11.800000000,G
140.000000000,2,9.800000000,B
149.800000000,3,7.600000000,C
157.400000000,2,9.000000000,B
166.400000000,3,7.200000000,C
173.600000000,2,8.800000000,B
182.400000000,3,7.600000000,C
190.000000000,2,8.800000000,B
198.800000000,7,12.800000000,G
