TIME,VALUE,DURATION,LABEL
0.000000000,1,36.800000000,A
36.800000000,2,14.000000000,B
50.800000000,3,7.800000000,C
58.600000000,4,7.000000000,D
65.600000000,3,8.200000000,C
73.800000000,4,6.800000000,D
80.600000000,3,8.000000000,C
88.600000000,4,5.400000000,D
94.000000000,1,13.600000000,A
107.600000000,5,17.600000000,E
125.200000000,6,6.600000000,F
131.800000000,5,8.400000000,E
140.200000000,6,6.600000000,F
146.800000000,5,7.400000000,E
154.200000000,6,8.000000000,F
162.200000000,5,20.200000000,E
182.400000000,1,17.800000000,A
200.200000000,3,8.400000000,C
208.600000000,4,6.400000000,D
215.000000000,3,10.400000000,C
225.400000000,7,14.000000000,G
239.400000000,1,5.600000000,A
