TIME,VALUE,DURATION,LABEL
0.000000000,1,4.800000000,A
4.800000000,2,26.800000000,B
31.600000000,3,5.600000000,C
37.200000000,4,7.800000000,D
45.000000000,5,7.000000000,E
52.000000000,6,10.200000000,F
62.200000000,7,22.000000000,G
84.200000000,3,14.400000000,C
98.600000000,1,12.000000000,A
110.600000000,3,9.800000000,C
120.400000000,1,16.200000000,A
136.600000000,3,7.400000000,C
144.000000000,1,44.600000000,A
188.600000000,6,7.000000000,F
195.600000000,5,4.400000000,E
200.000000000,4,10.800000000,D
210.800000000,1,14.600000000,A
