TIME,VALUE,DURATION,LABEL
0.000000000,1,25.600000000,A
25.600000000,2,5.800000000,B
31.400000000,3,5.800000000,C
37.200000000,2,9.000000000,B
46.200000000,3,6.800000000,C
53.000000000,2,9.200000000,B
62.200000000,4,7.600000000,D
69.800000000,5,29.600000000,E
99.400000000,4,7.600000000,D
107.000000000,1,10.600000000,A
117.600000000,2,6.400000000,B
124.000000000,3,5.400000000,C
129.400000000,2,8.800000000,B
138.200000000,3,6.400000000,C
144.600000000,2,10.200000000,B
154.800000000,6,14.200000000,F
169.000000000,5,14.200000000,E
183.200000000,7,18.000000000,G
