TIME,VALUE,DURATION,LABEL
0.000000000,0,15.568979592,N1
15.568979592,1,21.025668934,A
36.594648526,0,12.248526077,N2
48.843174603,1,21.025668934,A
69.868843537,1,21.025668934,A
90.894512472,0,11.830566893,N3
102.725079365,2,21.014058957,B
123.739138322,2,21.025668934,B
144.764807256,0,47.751836735,N4
192.516643991,1,21.014058957,A
213.530702948,0,18.831383220,N5
232.362086168,2,21.025668934,B
253.387755102,2,21.025668934,B
274.413424036,0,5.688888889,N6
280.102312925,1,21.014058957,A
301.116371882,0,12.701315193,N7
