TIME,VALUE,DURATION,LABEL
0.0,0,28.444444444,N1
28.444444444,1,14.129342404,A
42.573786848,2,21.164988662,B
63.73877551,1,14.117732426,A
77.856507937,1,14.117732426,A
91.974240363,1,14.117732426,A
106.091972789,0,7.058866213,N3
113.150839002,1,14.117732426,A
127.268571429,1,14.117732426,A
141.386303855,1,14.117732426,A
155.504036281,0,14.117732426,N4
169.621768707,2,21.176598639,B
190.798367347,1,14.117732426,A
204.916099773,0,7.058866213,N6
211.974965986,1,14.117732426,A
226.092698413,1,14.117732426,A
240.210430839,1,14.117732426,A
254.328163265,1,14.106122449,A
268.434285714,0,7.058866213,N7
275.493151927,1,14.117732426,A
289.610884354,1,14.117732426,A
303.72861678,0,18.819773243,N8
