CLIP_NAME,DURATION,TIMESTAMP
8.R,0:14.190,0.295
8.R,0:14.190,14.485
8.R,0:14.190,28.676
8.R,0:14.190,42.867
8.R,0:14.190,57.057
8.R,0:14.190,71.248
8.R,0:14.190,85.439
8.R,0:14.190,99.629
4.R,0:07.095,113.82
8.R,0:14.190,120.915
4.R,0:07.095,135.106
8.R,0:14.190,142.201
8.R,0:14.190,156.392
8.R,0:14.190,170.583
8.R,0:14.190,184.751
8.R,0:14.190,198.941
8.R,0:14.190,213.132
8.R,0:14.190,227.323
4.R,0:07.095,241.514
8.R,0:14.190,248.554
8.R,0:14.190,262.745
8.R,0:14.190,276.935
4.R,0:07.095,291.126
x.R,0:05.138,298.221
