CLIP_NAME,DURATION,TIMESTAMP
8.R,14.014,0.228
8.R,14.014,14.243
8.R,14.014,28.257
8.R,14.014,42.272
8.R,14.014,56.286
8.R,14.014,70.301
6.R,10.51,84.316
6.R,10.51,94.826
6.R,10.51,105.337
6.R,10.51,115.848
6.R,10.51,126.359
6.R,10.51,136.87
6.R,10.51,147.381
6.R,10.51,157.892
6.R,10.51,168.403
6.R,10.51,178.914
4.R,7.007,189.425
6.R,10.51,196.432
6.R,10.51,206.943
6.R,10.51,217.454
6.R,10.51,227.965
6.R,10.51,238.476
6.R,10.51,248.987
6.R,10.51,259.498
6.R,10.51,270.009
6.R,10.51,280.52
6.R,10.51,291.031
6.R,10.51,301.542
6.R,10.51,312.053
x.R,9.542,322.564
