CLIP_NAME,DURATION,TIMESTAMP
8.R,0:14.625,0.21
4.R,0:07.312,14.836
8.R,0:14.625,22.148
8.R,0:14.625,36.774
8.R,0:14.625,51.399
8.R,0:14.625,66.024
8.R,0:14.625,80.649
8.R,0:14.625,95.274
4.R,0:07.312,109.9
8.R,0:14.625,117.212
8.R,0:14.625,131.837
8.R,0:14.625,146.463
8.R,0:14.625,161.088
8.R,0:14.625,175.713
8.R,0:14.625,190.338
8.R,0:14.625,204.964
8.R,0:14.625,219.589
8.R,0:14.625,234.214
8.R,0:14.625,248.839
12.R,0:21.904,263.465
8.R,0:14.625,285.369
8.R,0:14.625,299.995
8.R,0:14.625,314.62
8.R,0:14.625,329.245
8.R,0:14.625,343.87
x.R,0:12.530,358.495
