TIME,VALUE,DURATION,LABEL
0.000000000,1,23.600000000,A
23.600000000,2,7.000000000,B
30.600000000,1,8.200000000,A
38.800000000,2,7.400000000,B
46.200000000,1,8.000000000,A
54.200000000,2,7.600000000,B
61.800000000,1,7.800000000,A
69.600000000,2,8.400000000,B
78.000000000,3,28.400000000,C
106.400000000,4,4.200000000,D
110.600000000,5,6.800000000,E
117.400000000,6,6.600000000,F
124.000000000,5,8.600000000,E
132.600000000,6,6.600000000,F
139.200000000,5,9.000000000,E
148.200000000,6,5.200000000,F
153.400000000,7,6.200000000,G
159.600000000,3,6.400000000,C
166.000000000,7,8.800000000,G
174.800000000,3,8.000000000,C
182.800000000,7,4.600000000,G
187.400000000,3,11.200000000,C
198.600000000,7,4.200000000,G
202.800000000,3,14.600000000,C
217.400000000,5,7.600000000,E
225.000000000,6,6.200000000,F
231.200000000,5,9.000000000,E
240.200000000,6,6.600000000,F
246.800000000,5,8.800000000,E
255.600000000,6,6.600000000,F
262.200000000,5,8.800000000,E
271.000000000,6,7.800000000,F
