FRAME,VALUE,DURATION,LABEL
0,1.0,1208340.0,1
1208340,2.0,626220.0,2
1834560,3.0,934920.0,3
2769480,2.0,608580.0,2
3378060,3.0,626220.0,3
4004280,4.0,458640.0,4
4462920,5.0,220500.0,5
4683420,6.0,246960.0,6
4930380,5.0,202860.0,5
5133240,6.0,246960.0,6
5380200,5.0,220500.0,5
5600700,6.0,246960.0,6
5847660,5.0,220500.0,5
6068160,6.0,246960.0,6
6315120,1.0,2760660.0,1
9075780,7.0,643860.0,7
9719640,4.0,458640.0,4
10178280,5.0,211680.0,5
10389960,6.0,246960.0,6
10636920,5.0,220500.0,5
10857420,6.0,246960.0,6
11104380,5.0,220500.0,5
11324880,6.0,246960.0,6
11571840,5.0,211680.0,5
11783520,6.0,255780.0,6
12039300,3.0,449820.0,3
12489120,8.0,758520.0,8
13247640,1.0,608580.0,1
