TIME,VALUE,DURATION,LABEL
0.0,1,19.8,1
19.8,2,44.4,2
64.2,1,24.4,1
88.6,3,14.0,3
102.6,4,4.2,4
106.8,3,12.0,3
118.8,5,4.6,5
123.4,3,5.8,3
129.2,6,4.2,6
133.4,5,4.2,5
137.6,3,9.4,3
147.0,5,4.6,5
151.6,3,5.6,3
157.2,6,4.2,6
161.4,5,4.2,5
165.6,3,5.8,3
171.4,6,4.2,6
175.6,5,4.2,5
179.8,3,5.6,3
185.4,6,4.4,6
189.8,5,4.0,5
193.8,3,5.8,3
199.6,6,4.8,6
204.4,3,9.0,3
213.4,4,6.8,4
220.2,3,11.2,3
231.4,5,4.6,5
236.0,3,5.8,3
241.8,6,4.2,6
246.0,5,4.0,5
250.0,3,5.6,3
255.6,6,4.4,6
260.0,5,4.2,5
264.2,3,5.6,3
269.8,6,7.2,6
277.0,3,6.8,3
283.8,6,4.2,6
288.0,5,25.4,5
313.4,3,7.0,3
320.4,4,5.6,4
