CLIP_NAME,DURATION,TIMESTAMP
6.L,12.307,1.091
6.L,12.307,13.399000000000001
6.L,12.307,25.707
6.L,12.307,38.014
6.L,12.307,50.322
6.L,12.307,62.63
6.L,12.307,74.937
6.L,12.307,87.245
6.L,12.307,99.553
6.L,12.307,111.86
6.L,12.307,124.168
6.L,12.307,136.476
4.L,8.205,148.784
4.L,8.205,156.989
4.L,8.205,165.194
4.L,8.205,173.399
6.L,12.307,181.604
6.L,12.307,194.135
6.L,12.307,206.443
6.L,12.307,218.751
6.L,12.307,231.058
6.L,12.307,243.366
6.L,12.307,255.674
6.L,12.307,267.982
6.L,12.307,280.289
3.L,6.153,292.597
4.L,8.443,299.252
x.L,26.383,307.696
