TIME,VALUE,DURATION,LABEL
0.0,0,22.105396825,N1
22.105396825,2,34.609342404,B
56.714739229,2,33.274195011,B
89.98893424,0,18.366984127,N3
108.355918367,1,21.037278912,A
129.393197279,1,21.025668934,A
150.418866213,1,21.014058957,A
171.43292517,1,17.519455782,A
188.952380952,0,10.507029478,N7
199.459410431,1,17.53106576,A
216.99047619,0,24.508662132,N8
241.499138322,1,21.025668934,A
262.524807256,1,17.519455782,A
280.044263039,0,14.001632653,N10
294.045895692,1,17.53106576,A
311.576961451,0,20.096870748,N11
