TIME,VALUE,DURATION,LABEL
0.0,0,3.250793651,N1
3.250793651,2,9.450521542,B
12.701315193,0,6.745396825,N2
19.446712018,2,12.817414966,B
32.264126984,1,14.407981859,A
46.672108844,2,14.396371882,B
61.068480726,1,14.396371882,A
75.464852608,1,14.407981859,A
89.872834467,1,12.596825397,A
102.469659864,0,18.030294785,N8
120.499954649,1,12.573605442,A
133.073560091,0,14.396371882,N9
147.469931973,1,14.396371882,A
161.866303855,1,14.407981859,A
176.274285714,1,12.561995465,A
188.836281179,0,9.485351474,N12
198.321632653,2,12.596825397,B
210.91845805,0,12.689705215,N13
