TIME,VALUE,DURATION,LABEL
0.000000000,1,36.400000000,A
36.400000000,2,33.400000000,B
69.800000000,1,7.800000000,A
77.600000000,3,35.000000000,C
112.600000000,4,7.000000000,D
119.600000000,3,7.200000000,C
126.800000000,4,6.800000000,D
133.600000000,3,7.000000000,C
140.600000000,4,7.400000000,D
148.000000000,3,14.000000000,C
162.000000000,5,5.600000000,E
167.600000000,2,44.200000000,B
211.800000000,4,6.600000000,D
218.400000000,3,6.800000000,C
225.200000000,4,7.400000000,D
232.600000000,3,6.800000000,C
239.400000000,4,7.600000000,D
247.000000000,3,6.400000000,C
253.400000000,4,7.000000000,D
260.400000000,3,7.200000000,C
267.600000000,6,5.200000000,F
272.800000000,1,50.000000000,A
