TIME,VALUE,DURATION,LABEL
0.000000000,1,7.800000000,A
7.800000000,2,6.400000000,B
14.200000000,1,5.400000000,A
19.600000000,3,4.600000000,C
24.200000000,4,7.400000000,D
31.600000000,3,7.800000000,C
39.400000000,4,7.400000000,D
46.800000000,3,6.200000000,C
53.000000000,2,8.200000000,B
61.200000000,4,8.400000000,D
69.600000000,3,7.800000000,C
77.400000000,4,7.400000000,D
84.800000000,3,6.000000000,C
90.800000000,2,8.000000000,B
98.800000000,5,6.200000000,E
105.000000000,1,7.600000000,A
112.600000000,5,11.400000000,E
124.000000000,3,5.600000000,C
129.600000000,1,29.000000000,A
158.600000000,5,11.800000000,E
170.400000000,3,5.800000000,C
176.200000000,4,7.400000000,D
183.600000000,3,7.800000000,C
191.400000000,4,7.400000000,D
198.800000000,3,6.200000000,C
205.000000000,6,6.400000000,F
211.400000000,1,7.600000000,A
219.000000000,5,15.200000000,E
