TIME,VALUE,DURATION,LABEL
0.000000000,1,13.400000000,A
13.400000000,2,26.000000000,B
39.400000000,3,30.600000000,C
70.000000000,1,9.400000000,A
79.400000000,4,6.800000000,D
86.200000000,1,6.800000000,A
93.000000000,4,7.000000000,D
100.000000000,1,7.800000000,A
107.800000000,4,6.800000000,D
114.600000000,1,10.400000000,A
125.000000000,5,30.600000000,E
155.600000000,6,23.800000000,F
179.400000000,5,12.000000000,E
191.400000000,6,16.400000000,F
207.800000000,5,14.600000000,E
222.400000000,1,13.400000000,A
235.800000000,4,7.200000000,D
243.000000000,1,7.600000000,A
250.600000000,4,6.400000000,D
257.000000000,1,7.600000000,A
264.600000000,4,7.600000000,D
272.200000000,2,10.400000000,B
282.600000000,7,16.600000000,G
299.200000000,5,20.000000000,E
