FRAME,VALUE,DURATION,LABEL
0,1,1208340,A
1208340,2,626220,B
1834560,3,934920,C
2769480,2,608580,B
3378060,3,626220,C
4004280,4,458640,D
4462920,5,220500,E
4683420,6,246960,F
4930380,5,202860,E
5133240,6,246960,F
5380200,5,220500,E
5600700,6,246960,F
5847660,5,220500,E
6068160,6,246960,F
6315120,1,2760660,A
9075780,7,643860,G
9719640,4,458640,D
10178280,5,211680,E
10389960,6,246960,F
10636920,5,220500,E
10857420,6,246960,F
11104380,5,220500,E
11324880,6,246960,F
11571840,5,211680,E
11783520,6,255780,F
12039300,3,449820,C
12489120,8,758520,H
13247640,1,608580,A
