CLIP_NAME,DURATION,TIMESTAMP
6+6+6.L,0:11.589,0:00.877
6+6+6.L,0:10.748,0:12.466
6+6+8.L,0:10.879,0:23.214
6+6+8.L,0:10.924,0:34.094
6.L,0:03.265,0:45.019
6+6+6.L,0:09.814,0:48.285
4+4+4.L,0:06.834,0:58.099
6+6+8.L,0:10.939,1:04.933
6+6+8.L,0:10.878,1:15.873
6+6+8.L,0:10.921,1:26.752
6+6+8.L,0:10.921,1:37.673
x.L,0:01.432,1:48.595
x.L,0:07.292,0:00.000
8.L,0:14.117,0:07.292
8.L,0:14.117,0:21.409
8.L,0:14.117,0:35.527
8.L,0:14.117,0:49.644
8.L,0:14.117,1:03.762
8.L,0:15.882,1:17.880
8.L,0:12.352,1:33.762
4.L,0:07.058,1:46.115
8.L,0:14.117,1:53.174
8.L,0:14.117,2:07.292
8.L,0:14.117,2:21.409
8.L,0:14.117,2:35.527
8.L,0:14.117,2:49.644
8.L,0:14.117,3:03.762
8.L,0:14.117,3:17.880
8.L,0:14.117,3:31.997
8.L,0:14.117,3:46.115
8.L,0:14.117,4:00.233
8.L,0:14.117,4:14.350
4.L,0:07.058,4:28.468
8.L,0:14.117,4:35.527
8.L,0:14.117,4:49.644
8.L,0:14.117,5:03.762
x.L,0:05.119,5:17.880
x.L,0:10.060,0:00.000
4.L,0:07.218,0:10.060
8.L,0:14.436,0:17.278
8.L,0:14.436,0:31.714
8.L,0:14.436,0:46.150
8.L,0:14.436,1:00.586
4.L,0:07.218,1:15.022
8.L,0:14.436,1:22.241
8.L,0:14.436,1:36.677
8.L,0:14.436,1:51.113
8.L,0:14.436,2:05.549
8.L,0:14.436,2:19.985
8.L,0:14.436,2:34.421
8.L,0:14.436,2:48.857
4.L,0:07.218,3:03.293
8.L,0:14.436,3:10.511
x.L,0:12.332,3:24.947
12.L,0:22.272,0:00.076
8.L,0:14.848,0:22.348
8.L,0:14.848,0:37.197
8.L,0:14.848,0:52.046
8.L,0:14.848,1:06.894
8.L,0:14.848,1:21.743
8.L,0:14.848,1:36.592
8.L,0:14.848,1:51.450
8.L,0:14.848,2:06.298
8.L,0:14.848,2:21.147
8.L,0:14.848,2:36.016
8.L,0:14.848,2:50.864
8.L,0:14.848,3:05.713
8.L,0:14.848,3:20.561
8.L,0:14.848,3:35.410
12.L,0:21.170,0:00.000
8.L,0:14.065,0:21.170
8.L,0:14.065,0:35.236
8.L,0:14.065,0:49.302
8.L,0:14.065,1:03.368
8.L,0:14.065,1:17.434
8.L,0:14.065,1:31.500
8.L,0:14.065,1:45.566
8.L,0:14.065,1:59.632
8.L,0:14.065,2:13.698
8.L,0:14.065,2:27.764
8.L,0:14.065,2:41.830
8.L,0:14.065,2:55.896
8.L,0:14.065,3:09.962
8.L,0:14.065,3:24.028
8.L,0:14.065,3:38.094
8.L,0:14.065,3:52.159
8.L,0:14.065,4:06.225
8.L,0:14.065,4:20.291
8.L,0:14.065,4:34.357
8.L,0:14.065,4:48.423
8.L,0:14.065,5:02.489
x.L,0:09.484,5:16.555
8.L,0:15.867,0:00.294
8.L,0:15.867,0:16.162
8.L,0:15.867,0:32.029
8.L,0:15.867,0:47.897
8.L,0:15.867,1:03.765
8.L,0:15.867,1:19.633
8.L,0:15.867,1:35.500
x.L,0:01.487,1:51.368
8.L,0:15.867,1:52.856
8.L,0:15.867,2:08.724
8.L,0:15.867,2:24.591
8.L,0:15.867,2:40.459
8.L,0:15.867,2:56.327
8.L,0:15.867,3:12.195
8.L,0:15.867,3:28.062
8.L,0:15.867,3:43.930
8.L,0:15.867,3:59.809
x.L,0:12.135,4:15.677
8.L,0:29.767,0:00.230
8.L,0:14.883,0:29.997
8.L,0:14.883,0:44.881
8.L,0:14.883,0:59.765
8.L,0:14.883,1:14.648
8.L,0:14.883,1:29.532
4.L,0:07.441,1:44.416
8.L,0:14.883,1:51.858
8.L,0:14.883,2:06.741
8.L,0:14.883,2:21.625
8.L,0:14.883,2:36.509
8.L,0:14.883,2:51.393
8.L,0:14.883,3:06.276
8.L,0:14.883,3:21.160
x.L,0:00.875,3:36.044
8.L,0:14.316,0:00.000
8.L,0:14.222,0:14.316
8.L,0:14.222,0:28.539
8.L,0:14.222,0:42.761
8.L,0:14.222,0:56.983
8.L,0:14.222,1:11.205
4.L,0:07.111,1:25.427
8.L,0:14.222,1:32.539
