Precision (Folder1),Recall (Folder1),Precision (Folder2),Recall (Folder2),Precision Difference,Recall Difference
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6522,0.6522,0.0000,0.0000,0.6522,0.6522
0.6111,0.7333,0.0000,0.0000,0.6111,0.7333
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1111,0.1333,0.0000,0.0000,0.1111,0.1333
0.1905,0.2222,0.0000,0.0000,0.1905,0.2222
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.1250,0.0000,0.0000,0.1000,0.1250
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2143,0.1765,0.0000,0.0000,0.2143,0.1765
0.0435,0.0625,0.0000,0.0000,0.0435,0.0625
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6250,0.6667,0.0000,0.0000,0.6250,0.6667
0.5625,0.5294,0.0000,0.0000,0.5625,0.5294
0.5556,0.6667,0.0000,0.0000,0.5556,0.6667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0455,0.0714,0.0000,0.0000,0.0455,0.0714
0.2222,0.3636,0.0000,0.0000,0.2222,0.3636
0.5789,0.6111,0.0000,0.0000,0.5789,0.6111
0.1667,0.1667,0.0000,0.0000,0.1667,0.1667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9286,0.8667,0.0000,0.0000,0.9286,0.8667
0.4000,0.5000,0.0000,0.0000,0.4000,0.5000
0.7222,0.8667,0.0000,0.0000,0.7222,0.8667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1429,0.1667,0.0000,0.0000,0.1429,0.1667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2941,0.3846,0.0000,0.0000,0.2941,0.3846
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2353,0.2857,0.0000,0.0000,0.2353,0.2857
0.1053,0.2222,0.0000,0.0000,0.1053,0.2222
0.4118,0.5833,0.0000,0.0000,0.4118,0.5833
0.3333,0.4000,0.0000,0.0000,0.3333,0.4000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1579,0.1667,0.0000,0.0000,0.1579,0.1667
0.6875,0.6875,0.0000,0.0000,0.6875,0.6875
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.5263,0.0000,0.0000,0.5000,0.5263
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0952,0.3333,0.0000,0.0000,0.0952,0.3333
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1111,0.0588,0.0000,0.0000,0.1111,0.0588
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5263,0.6667,0.0000,0.0000,0.5263,0.6667
0.0833,0.1111,0.0000,0.0000,0.0833,0.1111
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7500,0.7826,0.0000,0.0000,0.7500,0.7826
0.1429,0.0870,0.0000,0.0000,0.1429,0.0870
0.8571,0.8571,0.0000,0.0000,0.8571,0.8571
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4118,0.4375,0.0000,0.0000,0.4118,0.4375
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1304,0.1667,0.0000,0.0000,0.1304,0.1667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
