TIME,VALUE,DURATION,LABEL
0.000000000,1,13.400000000,A
13.400000000,2,5.200000000,B
18.600000000,3,5.200000000,C
23.800000000,2,2.600000000,B
26.400000000,3,4.400000000,C
30.800000000,2,6.600000000,B
37.400000000,3,4.400000000,C
41.800000000,2,2.400000000,B
44.200000000,4,4.000000000,D
48.200000000,5,6.000000000,E
54.200000000,4,3.600000000,D
57.800000000,5,6.800000000,E
64.600000000,6,1.400000000,F
66.000000000,7,2.800000000,G
68.800000000,8,4.200000000,H
73.000000000,6,4.000000000,F
77.000000000,7,2.800000000,G
79.800000000,8,4.000000000,H
83.800000000,6,4.000000000,F
87.800000000,7,3.000000000,G
90.800000000,8,4.000000000,H
94.800000000,6,4.200000000,F
99.000000000,7,2.600000000,G
101.600000000,8,4.000000000,H
105.600000000,6,3.000000000,F
108.600000000,1,4.200000000,A
