TIME,VALUE,DURATION,LABEL
0.000000000,1,19.400000000,A
19.400000000,2,25.200000000,B
44.600000000,3,19.800000000,C
64.400000000,4,2.200000000,D
66.600000000,5,2.200000000,E
68.800000000,6,2.800000000,F
71.600000000,7,2.600000000,G
74.200000000,8,2.000000000,H
76.200000000,4,1.400000000,D
77.600000000,5,2.000000000,E
79.600000000,6,3.000000000,F
82.600000000,7,2.400000000,G
85.000000000,8,2.000000000,H
87.000000000,4,1.600000000,D
88.600000000,5,2.000000000,E
90.600000000,6,3.000000000,F
93.600000000,7,2.400000000,G
96.000000000,8,2.200000000,H
98.200000000,4,1.000000000,D
99.200000000,5,2.400000000,E
101.600000000,6,3.000000000,F
104.600000000,7,2.400000000,G
107.000000000,8,2.000000000,H
109.000000000,1,3.800000000,A
