File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_1.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO1L.csv,0,12,5,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_2.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO2L.csv,0,25,23,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_3.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO3L.csv,0,17,11,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_4.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO4L.csv,0,15,7,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_5.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO5L.csv,15,8,8,0.6522,0.6522,0.6522
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_6.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO6L.csv,11,7,4,0.6111,0.7333,0.6667
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_7.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO7L.csv,0,15,4,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_8.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO8L.csv,0,23,25,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_9.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO9L.csv,2,16,13,0.1111,0.1333,0.1212
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_10.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO10L.csv,4,17,14,0.1905,0.2222,0.2051
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_11.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO11L.csv,0,16,4,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_12.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO12L.csv,0,16,10,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_13.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO13L.csv,1,9,7,0.1000,0.1250,0.1111
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_14.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO14L.csv,0,30,16,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_15.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO15L.csv,0,18,6,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_16.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO16L.csv,3,11,14,0.2143,0.1765,0.1935
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_17.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO17L.csv,1,22,15,0.0435,0.0625,0.0513
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_18.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO18L.csv,0,23,4,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_19.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO19L.csv,0,26,7,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_20.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO20L.csv,10,6,5,0.6250,0.6667,0.6452
