TIME,VALUE,DURATION,LABEL
0.000000000,1,23.000000000,A
23.000000000,2,3.600000000,B
26.600000000,3,6.000000000,C
32.600000000,4,3.400000000,D
36.000000000,2,1.200000000,B
37.200000000,3,6.200000000,C
43.400000000,5,3.600000000,E
47.000000000,6,7.400000000,F
54.400000000,5,2.600000000,E
57.000000000,6,8.400000000,F
65.400000000,7,2.200000000,G
67.600000000,8,5.400000000,H
73.000000000,7,5.600000000,G
78.600000000,8,5.400000000,H
84.000000000,7,5.600000000,G
89.600000000,8,5.200000000,H
94.800000000,7,5.800000000,G
100.600000000,8,5.200000000,H
105.800000000,7,3.000000000,G
108.800000000,1,4.000000000,A
