File1,File2,Timestamp1,Duration1,Timestamp2,Duration2,Time Difference,Duration Difference
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,12.466,10.748,13.2,7.0,0.734s,3.748s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,23.214,10.879,20.2,24.4,3.014s,13.521s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,34.094,10.924,44.6,20.8,10.506s,9.876s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,45.019,3.265,65.4,7.8,20.381s,4.535s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,48.285,9.814,73.2,5.4,24.915s,4.414s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,58.099,6.834,78.6,5.6,20.501s,1.234s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,64.933,10.939,84.2,5.6,19.267s,5.339s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,75.873,10.878,89.8,5.2,13.927s,5.678s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,86.752,10.921,95.0,5.6,8.248s,5.321s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,97.673,10.921,100.6,7.0,2.927s,3.921s
parsed_data_1.csv,parsed_VitalicSegmented1L.csv,108.595,1.432,107.6,5.2,0.995s,3.768s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,0.0,7.292,0.0,36.4,0.000s,29.108s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,7.292,14.117,36.4,33.4,29.108s,19.283s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,21.409,14.117,69.8,7.8,48.391s,6.317s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,35.527,14.117,77.6,35.0,42.073s,20.883s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,49.644,14.117,112.6,7.0,62.956s,7.117s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,63.762,14.117,119.6,7.2,55.838s,6.917s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,77.88,15.882,126.8,6.8,48.920s,9.082s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,93.762,12.352,133.6,7.0,39.838s,5.352s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,106.115,7.058,140.6,7.4,34.485s,0.342s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,113.174,14.117,148.0,14.0,34.826s,0.117s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,127.292,14.117,162.0,5.6,34.708s,8.517s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,141.409,14.117,167.6,44.2,26.191s,30.083s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,155.527,14.117,211.8,6.6,56.273s,7.517s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,169.644,14.117,218.4,6.8,48.756s,7.317s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,183.762,14.117,225.2,7.4,41.438s,6.717s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,197.88,14.117,232.6,6.8,34.720s,7.317s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,211.997,14.117,239.4,7.6,27.403s,6.517s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,226.115,14.117,247.0,6.4,20.885s,7.717s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,240.233,14.117,253.4,7.0,13.167s,7.117s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,254.35,14.117,260.4,7.2,6.050s,6.917s
parsed_data_2.csv,parsed_VitalicSegmented2L.csv,275.527,14.117,272.8,50.0,2.727s,35.883s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,0.0,10.06,0.0,31.2,0.000s,21.140s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,10.06,7.218,31.2,23.2,21.140s,15.982s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,17.278,14.436,54.4,5.2,37.122s,9.236s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,31.714,14.436,59.6,21.8,27.886s,7.364s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,46.15,14.436,81.4,7.0,35.250s,7.436s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,60.586,14.436,88.4,20.8,27.814s,6.364s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,75.022,7.218,109.2,29.6,34.178s,22.382s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,82.241,14.436,138.8,29.0,56.559s,14.564s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,96.677,14.436,167.8,22.4,71.123s,7.964s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,111.113,14.436,190.2,4.6,79.087s,9.836s
parsed_data_3.csv,parsed_VitalicSegmented3L.csv,125.549,14.436,194.8,22.4,69.251s,7.964s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,0.076,22.272,0.0,8.2,0.076s,14.072s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,22.348,14.848,8.2,29.6,14.148s,14.752s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,52.046,14.848,51.6,15.6,0.446s,0.752s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,66.894,14.848,67.2,28.8,0.306s,13.952s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,81.743,14.848,96.0,5.2,14.257s,9.648s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,96.592,14.848,101.2,48.0,4.608s,33.152s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,111.45,14.848,149.2,7.0,37.750s,7.848s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,126.298,14.848,156.2,12.6,29.902s,2.248s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,141.147,14.848,168.8,15.0,27.653s,0.152s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,156.016,14.848,183.8,7.6,27.784s,7.248s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,170.864,14.848,191.4,18.2,20.536s,3.352s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,185.713,14.848,209.6,16.6,23.887s,1.752s
parsed_data_4.csv,parsed_VitalicSegmented4L.csv,200.561,14.848,226.2,6.0,25.639s,8.848s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,0.0,21.17,0.0,19.8,0.000s,1.370s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,21.17,14.065,19.8,44.4,1.370s,30.335s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,35.236,14.065,64.2,24.4,28.964s,10.335s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,49.302,14.065,88.6,14.0,39.298s,0.065s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,63.368,14.065,102.6,4.2,39.232s,9.865s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,77.434,14.065,106.8,12.0,29.366s,2.065s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,91.5,14.065,118.8,4.6,27.300s,9.465s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,105.566,14.065,123.4,5.8,17.834s,8.265s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,119.632,14.065,129.2,4.2,9.568s,9.865s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,133.698,14.065,133.4,4.2,0.298s,9.865s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,147.764,14.065,137.6,9.4,10.164s,4.665s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,161.83,14.065,147.0,4.6,14.830s,9.465s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,175.896,14.065,151.6,5.6,24.296s,8.465s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,189.962,14.065,157.2,4.2,32.762s,9.865s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,204.028,14.065,161.4,4.2,42.628s,9.865s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,218.094,14.065,165.6,5.8,52.494s,8.265s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,232.159,14.065,171.4,4.2,60.759s,9.865s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,246.225,14.065,175.6,4.2,70.625s,9.865s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,260.291,14.065,179.8,5.6,80.491s,8.465s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,274.357,14.065,185.4,4.4,88.957s,9.665s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,288.423,14.065,189.8,4.0,98.623s,10.065s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,302.489,14.065,193.8,5.8,108.689s,8.265s
parsed_data_5.csv,parsed_VitalicSegmented5L.csv,316.555,9.484,199.6,4.8,116.955s,4.684s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,0.294,15.867,0.0,23.0,0.294s,7.133s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,16.162,15.867,23.0,9.6,6.838s,6.267s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,32.029,15.867,32.6,6.4,0.571s,9.467s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,47.897,15.867,39.0,9.6,8.897s,6.267s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,63.765,15.867,48.6,18.2,15.165s,2.333s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,79.633,15.867,66.8,5.0,12.833s,10.867s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,95.5,15.867,71.8,5.4,23.700s,10.467s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,111.368,1.487,77.2,4.8,34.168s,3.313s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,112.856,15.867,82.0,5.6,30.856s,10.267s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,128.724,15.867,87.6,12.0,41.124s,3.867s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,144.591,15.867,99.6,11.8,44.991s,4.067s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,160.459,15.867,111.4,11.0,49.059s,4.867s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,176.327,15.867,122.4,8.8,53.927s,7.067s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,192.195,15.867,131.2,6.0,60.995s,9.867s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,208.062,15.867,137.2,7.2,70.862s,8.667s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,223.93,15.867,144.4,7.8,79.530s,8.067s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,239.809,15.867,152.2,8.0,87.609s,7.867s
parsed_data_6.csv,parsed_VitalicSegmented6L.csv,255.677,12.135,160.2,8.6,95.477s,3.535s
parsed_data_7.csv,parsed_VitalicSegmented7L.csv,0.23,29.767,0.0,7.4,0.230s,22.367s
parsed_data_7.csv,parsed_VitalicSegmented7L.csv,29.997,14.883,7.4,34.4,22.597s,19.517s
