File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_1.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented1L.csv,1,11,11,0.0833,0.0833,0.0833
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_2.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented2L.csv,1,24,21,0.0400,0.0455,0.0426
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_3.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented3L.csv,0,17,11,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_4.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented4L.csv,1,14,13,0.0667,0.0714,0.0690
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_5.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented5L.csv,2,21,38,0.0870,0.0500,0.0635
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_6.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented6L.csv,1,17,22,0.0556,0.0435,0.0488
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_7.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented7L.csv,0,15,12,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_8.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented8L.csv,2,21,15,0.0870,0.1176,0.1000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_9.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented9L.csv,3,15,12,0.1667,0.2000,0.1818
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_10.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented10L.csv,3,18,18,0.1429,0.1429,0.1429
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_11.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented11L.csv,1,15,20,0.0625,0.0476,0.0541
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_12.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented12L.csv,1,15,20,0.0625,0.0476,0.0541
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_13.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented13L.csv,0,10,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_14.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented14L.csv,1,29,9,0.0333,0.1000,0.0500
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_15.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented15L.csv,1,17,7,0.0556,0.1250,0.0769
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_16.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented16L.csv,0,14,8,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_17.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented17L.csv,6,17,26,0.2609,0.1875,0.2182
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_18.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented18L.csv,1,22,9,0.0435,0.1000,0.0606
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_19.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented19L.csv,4,22,15,0.1538,0.2105,0.1778
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_20.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented20L.csv,0,16,23,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_21.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented21L.csv,1,15,29,0.0625,0.0333,0.0435
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_22.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented22L.csv,1,17,25,0.0556,0.0385,0.0455
